id;date_created;date_updated;kcell_as;kcell_ip;provider_as;provider_ip;service;service_capacity;service_type_catalog_id;service_type_id;status;vlan ;vpn_number;vpn_termination_point_2;port_id
18;29/06/2023;29/06/2023;29355;10.1.60.158;9198;10.1.60.157;L3;14350;83;7;Active;3016;VPN0458P;2;2
19;29/06/2023;29/06/2023;29355;10.255.240.238;9198;10.255.240.237;L3;1;83;16;Active;3915;VPN1598P;2;2
20;29/06/2023;29/06/2023;29355;10.1.60.206;9198;10.1.60.205;L3;1000;83;4;Active;2570;VPN1955P;2;2
21;29/06/2023;29/06/2023;29355;10.1.4.150;9198;10.1.4.149;L3;70;83;1;Active;3017;VPN0409;3;3
22;29/06/2023;29/06/2023;29355;10.0.0.226;9198;10.0.0.225;L3;25;83;3;Active;3015;VPN0032;3;3
23;29/06/2023;29/06/2023;29355;10.1.4.146;9198;10.1.4.145;L3;1747;83;11;Active;3019;VPN0030;3;3
24;29/06/2023;29/06/2023;29355;10.0.211.54;9198;10.0.211.53;L3;70;83;19;Active;3023;VPN0354;3;3
25;29/06/2023;29/06/2023;29355;10.0.0.222;9198;10.0.0.221;L3;180;83;26;Active;3014;VPN0031;3;3
26;29/06/2023;29/06/2023;29355;10.1.4.142;9198;10.1.4.141;L3;30;83;29;Active;3021;VPN0034;3;3
27;29/06/2023;29/06/2023;29355;10.1.4.154;9198;10.1.4.153;L3;10;83;17;Active;3024;VPN0548;3;3
28;29/06/2023;29/06/2023;29355;10.0.0.230;9198;10.0.0.229;L3;15163;83;7;Active;3016;VPN0033;3;3
29;29/06/2023;29/06/2023;29355;10.255.240.178;9198;10.255.240.177;L3;1;83;16;Active;3020;VPN1597;3;3
30;29/06/2023;29/06/2023;29355;10.1.4.118;9198;10.1.4.117;L3;1000;83;4;Active;2570;VPN1956;3;3
31;29/06/2023;29/06/2023;29355;10.1.60.66;9198;10.1.60.65;L3;110;83;1;Active;3017;VPN0409P;4;4
32;29/06/2023;29/06/2023;29355;10.1.60.70;9198;10.1.60.69;L3;25;83;3;Active;3015;VPN0032P;4;4
33;29/06/2023;29/06/2023;29355;10.1.60.74;9198;10.1.60.73;L3;1747;83;11;Active;3019;VPN0030P;4;4
34;29/06/2023;29/06/2023;29355;10.1.60.78;9198;10.1.60.77;L3;70;83;19;Active;3023;VPN0354P;4;4
35;29/06/2023;29/06/2023;29355;10.1.60.82;9198;10.1.60.81;L3;180;83;26;Active;3014;VPN0031P;4;4
36;29/06/2023;29/06/2023;29355;10.1.60.86;9198;10.1.60.85;L3;30;83;29;Active;3021;VPN0034P;4;4
37;29/06/2023;29/06/2023;29355;10.1.60.90;9198;10.1.60.89;L3;10;83;17;Active;3024;VPN0548P;4;4
38;29/06/2023;29/06/2023;29355;10.1.60.94;9198;10.1.60.93;L3;15163;83;7;Active;3016;VPN0033P;4;4
39;29/06/2023;29/06/2023;29355;10.255.128.2;9198;10.255.128.1;L3;1;83;16;Active;3020;VPN1597P;4;4
40;29/06/2023;29/06/2023;29355;10.1.60.98;9198;10.1.60.97;L3;1000;83;4;Active;2570;VPN1956P;4;4
41;29/06/2023;29/06/2023;65001;10.1.0.62;9198;10.1.0.61;L3;56;83;1;Active;2427;VPN0009;5;5
42;29/06/2023;29/06/2023;65001;10.1.0.6;9198;10.1.0.5;L3;250;83;3;Active;2424;VPN0001;5;5
43;29/06/2023;29/06/2023;65001;10.1.0.30;9198;10.1.0.29;L3;500;83;10;Active;1245;VPN0453;5;5
44;29/06/2023;29/06/2023;65001;10.1.0.50;9198;10.1.0.49;L3;19705;83;11;Active;2525;VPN0007;5;5
45;29/06/2023;29/06/2023;65001;10.1.0.54;9198;10.1.0.53;L3;300;83;17;Active;2540;VPN0008;5;5
46;29/06/2023;29/06/2023;65001;10.0.211.2;9198;10.0.211.1;L3;1895;83;19;Active;2538;VPN0312;5;5
47;29/06/2023;29/06/2023;65001;10.1.1.218;9198;10.1.1.217;L3;2270;83;13;Active;1246;VPN0789;5;5
48;29/06/2023;29/06/2023;65001;10.1.0.2;9198;10.1.0.1;L3;1000;83;26;Active;2423;VPN0003;5;5
49;29/06/2023;29/06/2023;65001;10.1.0.46;9198;10.1.0.45;L3;300;83;27;Active;2510;VPN0309;5;5
50;29/06/2023;29/06/2023;65001;10.0.211.254;9198;10.0.211.253;L3;40;83;30;Active;1766;VPN0435;5;5
51;29/06/2023;29/06/2023;65001;10.0.210.2;9198;10.0.210.1;L3;122;83;34;Active;2257;VPN0374;5;5
52;29/06/2023;29/06/2023;65001;10.1.0.14;9198;10.1.0.13;L3;25746;83;7;Active;2426;VPN0005;5;5
53;29/06/2023;29/06/2023;65001;10.1.0.58;9198;10.1.0.57;L3;610;83;29;Active;2544;VPN0819;5;5
54;29/06/2023;29/06/2023;65001;10.1.1.162;9198;10.1.1.161;L3;200;83;31;Active;2545;VPN0820;5;5
55;29/06/2023;29/06/2023;65001;10.1.1.166;9198;10.1.1.165;L3;40;83;6;Active;2546;VPN0821;5;5
56;29/06/2023;29/06/2023;65001;10.1.1.170;9198;10.1.1.169;L3;250;83;25;Active;2547;VPN0822;5;5
57;29/06/2023;29/06/2023;65001;10.1.0.238;9198;10.1.0.237;L3;;83;20;Active;2550;VPN2046;5;5
58;29/06/2023;29/06/2023;65001;10.1.0.222;9198;10.1.0.221;L3;20;83;21;Active;2717;VPN0949;5;5
59;29/06/2023;29/06/2023;;10.1.0.218;;10.1.0.217;L3;;83;35;Ordered;1335;;5;5
60;29/06/2023;29/06/2023;65001;10.1.31.18;9198;10.1.31.17;L3;360;83;32;Active;1978;VPN1309;5;5
61;29/06/2023;29/06/2023;65001;10.254.240.10;9198;10.254.240.9;L3;200;83;16;Active;3987;VPN1384;5;5
62;29/06/2023;29/06/2023;65001;10.1.35.78;9198;10.1.35.77;L3;1000;83;4;Active;2570;VPN1594;5;5
63;29/06/2023;29/06/2023;65001;10.1.1.234;9198;10.1.1.233;L3;;83;5;Active;1819;VPN2047;5;5
64;29/06/2023;29/06/2023;65001;10.1.35.190;9198;10.1.35.189;L3;170;83;38;Active;3121;VPN1733;5;5
65;29/06/2023;29/06/2023;;172.31.253.128;;;L2;10;83;43;Active;2400;VPN0865;5;5
66;29/06/2023;29/06/2023;65001;10.1.1.226;9198;10.1.1.225;L3;;83;15;Active;1818;VPN1936 ;5;5
67;29/06/2023;29/06/2023;;10.0.212.65;;;L2;;83;42;Active;2398;VPN1980;5;5
68;29/06/2023;29/06/2023;;10.1.1.82;;10.1.1.81;L3;;83;37;Ordered;2431;5708734007;5;5
69;29/06/2023;29/06/2023;65001;10.1.9.2;9198;10.1.9.1;L3;379,2;83;14;Active;2801;VPN13901;6;6
70;29/06/2023;29/06/2023;65001;10.1.40.2;9198;10.1.40.1;L3;379,2;83;2;Active;3801;VPN13902;6;6
71;29/06/2023;29/06/2023;65001;10.1.40.6;9198;10.1.40.5;L3;379,2;83;12;Active;3803;VPN13903;6;6
72;29/06/2023;29/06/2023;65001;10.1.40.10;9198;10.1.40.9;L3;379,2;83;18;Active;3805;VPN13904;6;6
73;29/06/2023;29/06/2023;65001;10.1.40.14;9198;10.1.40.13;L3;379,2;83;8;Active;3707;VPN13905;6;6
74;29/06/2023;29/06/2023;65001;10.1.56.2;9198;10.1.56.1;L3;56;83;1;Active;2427;VPN0009P;7;7
75;29/06/2023;29/06/2023;65001;10.1.56.6;9198;10.1.56.5;L3;250;83;3;Active;2428;VPN0001P;7;7
76;29/06/2023;29/06/2023;65001;10.1.56.10;9198;10.1.56.9;L3;500;83;10;Active;1245;VPN0453P;7;7
77;29/06/2023;29/06/2023;65001;10.1.56.14;9198;10.1.56.13;L3;15966;83;11;Active;2525;VPN0007P;7;7
78;29/06/2023;29/06/2023;65001;10.1.56.18;9198;10.1.56.17;L3;300;83;17;Active;2542;VPN0008P;7;7
79;29/06/2023;29/06/2023;65001;10.0.211.94;9198;10.0.211.93;L3;1895;83;19;Active;2538;VPN0312P;7;7
80;29/06/2023;29/06/2023;65001;10.1.56.22;9198;10.1.56.21;L3;2270;83;13;Active;1246;VPN0789P;7;7
81;29/06/2023;29/06/2023;65001;10.1.56.26;9198;10.1.56.25;L3;1000;83;26;Active;2423;VPN0003P;7;7
82;29/06/2023;29/06/2023;65001;10/01/5630;9198;10.1.56.29;L3;300;83;27;Active;2510;VPN0309P;7;7
83;29/06/2023;29/06/2023;65001;10.0.211.6;9198;10.0.211.5;L3;40;83;30;Active;1766;VPN0435P;7;7
84;29/06/2023;29/06/2023;65001;10.0.210.14;9198;10.0.210.13;L3;122;83;34;Active;2257;VPN0374P;7;7
85;29/06/2023;29/06/2023;65001;10.1.56.38;9198;10.1.56.37;L3;25746;83;7;Active;2426;VPN0005P;7;7
86;29/06/2023;29/06/2023;65001;10.1.56.42;9198;10.1.56.41;L3;;83;20;Ordered;2550;;7;7
87;29/06/2023;29/06/2023;65001;10.1.56.46;9198;10.1.56.45;L3;20;83;21;Active;2717;VPN0949P;7;7
88;29/06/2023;29/06/2023;65001;10.1.56.50;9198;10.1.56.49;L3;360;83;32;Active;1978;VPN1309P;7;7
89;29/06/2023;29/06/2023;65001;10.254.240.74;9198;10.254.240.73;L3;200;83;16;Active;3987;VPN1384P;7;7
90;29/06/2023;29/06/2023;65001;10.1.56.54;9198;10.1.56.53;L3;1000;83;4;Active;2570;VPN1594P;7;7
91;29/06/2023;29/06/2023;65001;10.1.56.58;9198;10.1.56.57;L3;;83;5;Ordered;;;7;7
92;29/06/2023;29/06/2023;65001;10.1.56.62;9198;10.1.56.61;L3;170;83;38;Active;3121;VPN1733P;7;7
93;29/06/2023;29/06/2023;65001;10.1.56.66;9198;10.1.56.65;L3;610;83;29;Active;2544;VPN0819Р;7;7
94;29/06/2023;29/06/2023;65001;10.1.56.70;9198;10.1.56.69;L3;200;83;31;Active;2545;VPN0820Р;7;7
95;29/06/2023;29/06/2023;65001;10.1.56.74;9198;10.1.56.73;L3;40;83;6;Active;2546;VPN0821Р;7;7
96;29/06/2023;29/06/2023;65001;10.1.56.78;9198;10.1.56.77;L3;250;83;25;Active;2547;VPN0822Р;7;7
97;29/06/2023;29/06/2023;65001;10.1.0.242;9198;10.1.0.241;L3;;83;20;Active;2540;VPN2048;8;8
98;29/06/2023;29/06/2023;;10.1.34.253;;;L2;70;83;23;Active;2301;VPN1426;8;8
99;29/06/2023;29/06/2023;;10.1.34.249;;;L2;90;83;24;Active;2300;VPN1425;8;8
100;29/06/2023;29/06/2023;;10.1.36.53;;;L2;20;83;40;Active;2370;VPN1875;8;8
101;29/06/2023;29/06/2023;;10.1.36.49;;;L2;30;83;41;Active;2369;VPN1874;8;8
102;29/06/2023;29/06/2023;65001;10.1.1.238;9198;10.1.1.237;L3;;83;5;Active;1819;VPN2049;8;8
103;29/06/2023;29/06/2023;65001;10.1.1.230;9198;10.1.1.229;L3;;83;15;Active;1818;VPN2076 ;8;8
104;29/06/2023;29/06/2023;65001;10.1.9.6;9198;10.1.9.5;L3;379,2;83;14;Active;2802;VPN13911;9;9
105;29/06/2023;29/06/2023;65001;10.1.40.130;9198;10.1.40.129;L3;379,2;83;2;Active;3802;VPN13912;9;9
106;29/06/2023;29/06/2023;65001;10.1.40.134;9198;10.1.40.133;L3;379,2;83;12;Active;3804;VPN13913;9;9
107;29/06/2023;29/06/2023;65001;10.1.40.138;9198;10.1.40.137;L3;379,2;83;18;Active;3806;VPN13914;9;9
108;29/06/2023;29/06/2023;65001;10.1.40.142;9198;10.1.40.141;L3;379,2;83;8;Active;3808;VPN13915;9;9
109;29/06/2023;29/06/2023;65001;10.1.2.22;9198;10.1.2.21;L3;12;83;1;Active;2407;VPN0014;10;10
110;29/06/2023;29/06/2023;65001;10.0.0.34;9198;10.0.0.33;L3;250;83;3;Active;2413;VPN0010;10;10
111;29/06/2023;29/06/2023;65001;10.1.2.2;9198;10.1.2.1;L3;500;83;10;Active;1287;VPN0454;10;10
112;29/06/2023;29/06/2023;65001;10.1.2.26;9198;10.1.2.25;L3;2788;83;11;Active;2416;VPN0015;10;10
113;29/06/2023;29/06/2023;65001;10.1.2.18;9198;10.1.2.17;L3;300;83;17;Active;2418;VPN0016;10;10
114;29/06/2023;29/06/2023;65001;10.0.211.14;9198;10.0.211.13;L3;1427;83;19;Active;2419;VPN0340;10;10
115;29/06/2023;29/06/2023;65001;10.1.1.194;9198;10.1.1.193;L3;770;83;13;Active;1365;VPN0771;10;10
116;29/06/2023;29/06/2023;65001;10.0.0.26;9198;10.0.0.25;L3;700;83;26;Active;2412;VPN0011;10;10
117;29/06/2023;29/06/2023;65001;10.1.2.30;9198;10.1.2.29;L3;300;83;27;Active;2420;VPN0310;10;10
118;29/06/2023;29/06/2023;65001;10.0.1.18;9198;10.0.1.17;L3;870;83;29;Active;2414;VPN0012;10;10
119;29/06/2023;29/06/2023;65001;10.0.215.2;9198;10.0.215.1;L3;2;83;30;Active;2421;VPN0447;10;10
120;29/06/2023;29/06/2023;65001;10.1.0.230;9198;10.1.0.229;L3;200;83;31;Active;2544;VPN0688;10;10
121;29/06/2023;29/06/2023;65001;10.1.2.42;9198;10.1.2.41;L3;20;83;34;Active;2424;VPN0727;10;10
122;29/06/2023;29/06/2023;65001;10.1.2.10;9198;10.1.2.9;L3;20;83;21;Active;2718;VPN0950;10;10
123;29/06/2023;29/06/2023;65001;10.1.2.6;9198;10.1.2.5;L3;30402;83;7;Active;2417;VPN0013;10;10
124;29/06/2023;29/06/2023;65001;10.252.240.2;9198;10.252.240.1;L3;100;83;16;Active;2408;VPN1244;10;10
125;29/06/2023;29/06/2023;65001;10.1.35.74;9198;10.1.35.73;L3;1000;83;4;Active;2572;VPN1595;10;10
126;29/06/2023;29/06/2023;65001;10.1.35.122;9198;10.1.35.121;L3;250;83;25;Active;2406;VPN1487;10;10
127;29/06/2023;29/06/2023;65001;10.1.35.194;9198;10.1.35.193;L3;70;83;38;Active;2427;VPN1734;10;10
128;29/06/2023;29/06/2023;65001;10.1.30.166;9198;10.1.30.165;L3;54;83;36;Ordered;1288;VPN2346;10;10
129;29/06/2023;29/06/2023;65001;10.1.11.2;9198;10.1.11.1;L3;41365;83;14;Active;2801;VPN13921;11;11
130;29/06/2023;29/06/2023;65001;10.1.43.2;9198;10.1.43.1;L3;4;83;2;Active;3801;VPN13922;11;11
131;29/06/2023;29/06/2023;65001;10.1.43.6;9198;10.1.43.5;L3;30;83;12;Active;3803;VPN13923;11;11
132;29/06/2023;29/06/2023;65001;10.1.43.10;9198;10.1.43.8;L3;1;83;18;Active;3805;VPN13924;11;11
133;29/06/2023;29/06/2023;65001;10.1.43.14;9198;10.1.43.13;L3;100;83;8;Active;3807;VPN13925;11;11
134;29/06/2023;29/06/2023;65001;10.1.58.2;9198;10.1.58.1;L3;12;83;1;Active;2407;VPN0014P;12;12
135;29/06/2023;29/06/2023;65001;10.1.58.6;9198;10.1.58.5;L3;250;83;3;Active;2413;VPN0010P;12;12
136;29/06/2023;29/06/2023;65001;10.1.58.10;9198;10.1.58.9;L3;500;83;10;Active;1287;VPN0454P;12;12
137;29/06/2023;29/06/2023;65001;10.1.58.14;9198;10.1.58.13;L3;2788;83;11;Active;2416;VPN0015P;12;12
138;29/06/2023;29/06/2023;65001;10.1.58.18;9198;10.1.58.17;L3;300;83;17;Active;2418;VPN0016P;12;12
139;29/06/2023;29/06/2023;65001;10.1.58.22;9198;10.1.58.21;L3;1427;83;19;Active;2419;VPN0340P;12;12
140;29/06/2023;29/06/2023;65001;10.1.58.26;9198;10.1.58.25;L3;770;83;13;Active;1365;VPN0771P;12;12
141;29/06/2023;29/06/2023;65001;10.1.58.30;9198;10.1.58.29;L3;700;83;26;Active;2412;VPN0011P;12;12
142;29/06/2023;29/06/2023;65001;10.1.58.34;9198;10.1.58.33;L3;300;83;27;Active;2420;VPN0310P;12;12
143;29/06/2023;29/06/2023;65001;10.1.58.38;9198;10.1.58.37;L3;870;83;29;Active;2414;VPN0012P;12;12
144;29/06/2023;29/06/2023;65001;10.0.215.22;9198;10.0.215.21;L3;2;83;30;Active;2421;VPN0447P;12;12
145;29/06/2023;29/06/2023;65001;10.1.58.42;9198;10.1.58.41;L3;100;83;31;Active;2544;VPN0688P;12;12
146;29/06/2023;29/06/2023;65001;10.0.214.10;9198;10.0.214.9;L3;20;83;34;Active;2425;VPN0727P;12;12
147;29/06/2023;29/06/2023;65001;10.1.58.46;9198;10.1.58.45;L3;20;83;21;Active;2718;VPN0950P;12;12
148;29/06/2023;29/06/2023;65001;10.1.58.50;9198;10.1.58.49;L3;30402;83;7;Active;2417;VPN0013P;12;12
149;29/06/2023;29/06/2023;65001;10.252.240.114;9198;10.252.240.113;L3;100;83;16;Active;2409;VPN1244P;12;12
150;29/06/2023;29/06/2023;65001;10.1.58.54;9198;10.1.58.53;L3;1000;83;4;Active;2570;VPN1595Р;12;12
151;29/06/2023;29/06/2023;65001;10.1.58.62;9198;10.1.58.61;L3;200;83;25;Ordered;2406;;12;12
152;29/06/2023;29/06/2023;65001;10.1.58.58;9198;10.1.58.57;L3;70;83;38;Active;2427;VPN1734P;12;12
153;29/06/2023;29/06/2023;65001;10.1.11.6;9198;10.1.11.5;L3;41365;83;14;Active;2802;VPN1392P1;13;13
154;29/06/2023;29/06/2023;65001;10.1.43.66;9198;10.1.43.65;L3;4;83;2;Active;3802;VPN1392P2;13;13
155;29/06/2023;29/06/2023;65001;10.1.43.70;9198;10.1.43.69;L3;30;83;12;Active;3804;VPN1392P3;13;13
156;29/06/2023;29/06/2023;65001;10.1.43.74;9198;10.1.43.73;L3;1;83;18;Active;3806;VPN1392P4;13;13
157;29/06/2023;29/06/2023;65001;10.1.43.78;9198;10.1.43.77;L3;100;83;8;Active;3808;VPN1392P5;13;13
158;29/06/2023;29/06/2023;29355;10.1.4.10;9198;10.1.4.9;L3;160;83;1;Active;2225;VPN0468 ;14;14
159;29/06/2023;29/06/2023;29355;10.0.0.150;9198;10.0.0.149;L3;90;83;3;Active;2103;VPN0023;14;14
160;29/06/2023;29/06/2023;29355;10.1.4.30;9198;10.1.4.29;L3;3458;83;11;Active;2110;VPN0021;14;14
161;29/06/2023;29/06/2023;29355;10.0.0.146;9198;10.0.0.145;L3;180;83;26;Active;2101;VPN0022;14;14
162;29/06/2023;29/06/2023;29355;10.1.4.18;9198;10.1.4.17;L3;330;83;29;Active;2107;VPN0024;14;14
163;29/06/2023;29/06/2023;29355;10.1.4.14;9198;10.1.4.13;L3;32;83;17;Active;1051;VPN0547;14;14
164;29/06/2023;29/06/2023;29355;10.1.1.198;9198;10.1.1.197;L3;480;83;13;Active;1365;VPN0772;14;14
165;29/06/2023;29/06/2023;29355;10.0.0.154;9198;10.0.0.153;L3;40444;83;7;Active;2105;VPN0025;14;14
166;29/06/2023;29/06/2023;29355;10.255.240.2;9198;10.255.240.1;L3;1;83;16;Active;3309;VPN1254;14;14
167;29/06/2023;29/06/2023;29355;10.1.4.6;9198;10.1.4.5;L3;8;83;27;Active;2453;VPN1236;14;14
168;29/06/2023;29/06/2023;29355;10.1.35.70;9198;10.1.35.69;L3;20;83;30;Active;2336;VPN1570;14;14
169;29/06/2023;29/06/2023;29355;10.1.35.198;9198;10.1.35.197;L3;60;83;38;Active;2343;VPN1735;14;14
170;29/06/2023;29/06/2023;;10.1.34.254;;;L2;70;83;39;Active;2301;VPN1426;14;14
171;29/06/2023;29/06/2023;29355;10.0.211.102;9198;10.0.211.101;L3;100;83;19;Active;2712;VPN1905;14;14
172;29/06/2023;29/06/2023;29355;10.1.4.130;9198;10.1.4.129;L3;1000;83;4;Active;2570;VPN1957;14;14
173;29/06/2023;29/06/2023;29355;10.1.60.2;9198;10.1.60.1;L3;200;83;1;Active;2225;VPN0468P;15;15
174;29/06/2023;29/06/2023;29355;10.1.60.6;9198;10.1.60.5;L3;90;83;3;Active;2103;VPN0023P;15;15
175;29/06/2023;29/06/2023;29355;10.1.60.10;9198;10.1.60.9;L3;3458;83;11;Active;2110;VPN0021P;15;15
176;29/06/2023;29/06/2023;29355;10.1.60.14;9198;10.1.60.13;L3;180;83;26;Active;2101;VPN0022P;15;15
177;29/06/2023;29/06/2023;29355;10.1.60.18;9198;10.1.60.17;L3;330;83;29;Active;2107;VPN0024P;15;15
178;29/06/2023;29/06/2023;29355;10.1.60.22;9198;10.1.60.21;L3;32;83;17;Active;1051;VPN0547P;15;15
179;29/06/2023;29/06/2023;29355;10.1.60.26;9198;10.1.60.25;L3;480;83;13;Active;1365;VPN0772P;15;15
180;29/06/2023;29/06/2023;29355;10.1.60.30;9198;10.1.60.29;L3;40444;83;7;Active;2105;VPN0025P;15;15
181;29/06/2023;29/06/2023;29355;10.255.240.198;9198;10.255.240.197;L3;1;83;16;Active;3309;VPN1254P;15;15
182;29/06/2023;29/06/2023;29355;10.1.60.34;9198;10.1.60.33;L3;8;83;27;Active;2453;VPN1236P;15;15
183;29/06/2023;29/06/2023;29355;10.0.223.10;9198;10.0.223.9;L3;20;83;30;Active;2336;VPN1570P;15;15
184;29/06/2023;29/06/2023;29355;10.1.60.42;9198;10.1.60.41;L3;60;83;38;Active;2343;VPN1735Р;15;15
185;29/06/2023;29/06/2023;;10.1.36.54;;;L2;20;83;39;Active;2370;VPN1875;15;15
186;29/06/2023;29/06/2023;29355;10.1.60.46;9198;10.1.60.45;L3;100;83;19;Active;2712;VPN1905P;15;15
187;29/06/2023;29/06/2023;29355;10.1.60.50;9198;10.1.60.49;L3;1000;83;4;Active;2570;VPN1957P;15;15
188;29/06/2023;29/06/2023;65021;10.0.211.82;9198;10.0.211.81;L3;60;83;19;Active;1558;VPN0476 ;16;16
189;29/06/2023;29/06/2023;65021;10.1.2.50;9198;10.1.2.49;L3;590;83;11;Active;2949;VPN0216;16;16
190;29/06/2023;29/06/2023;65021;10.0.215.34;9198;10.0.215.33;L3;4;83;30;Active;3561;VPN0794;16;16
191;29/06/2023;29/06/2023;65021;10.1.2.58;9198;10.1.2.57;L3;409;83;7;Active;2950;VPN0522;16;16
192;29/06/2023;29/06/2023;65021;10.1.30.246;9198;10.1.30.245;L3;30;83;1;Active;2899;VPN1267;16;16
193;29/06/2023;29/06/2023;65021;10.1.2.54;9198;10.1.2.53;L3;5;83;29;Active;2799;VPN1268;16;16
194;29/06/2023;29/06/2023;65021;10.252.240.86;9198;10.252.240.85;L3;1;83;16;Active;3674;VPN1644;16;16
195;29/06/2023;29/06/2023;65021;10.1.35.114;9198;10.1.35.113;L3;10;83;6;Active;3623;VPN1643;16;16
196;29/06/2023;29/06/2023;65021;10.0.214.6;9198;10.0.214.5;L3;10;83;34;Active;2570;VPN1505;16;16
197;29/06/2023;29/06/2023;65021;10.1.0.18;9198;10.1.0.17;L3;5;83;17;Active;2185;VPN1168;16;16
198;29/06/2023;29/06/2023;65110;10.1.2.202;9198;10.1.2.201;L3;5;83;1;Active;2185;VPN1238;17;17
199;29/06/2023;29/06/2023;65110;10.0.0.126;9198;10.0.0.125;L3;30;83;3;Active;2103;VPN0085;17;17
200;29/06/2023;29/06/2023;65110;10.1.2.78;9198;10.1.2.77;L3;810;83;11;Active;2108;VPN0088;17;17
201;29/06/2023;29/06/2023;65110;10.1.2.86;9198;10.1.2.85;L3;5;83;17;Active;2110;VPN0084;17;17
202;29/06/2023;29/06/2023;65110;10.0.211.34;9198;10.0.211.33;L3;110;83;19;Active;2106;VPN0344;17;17
203;29/06/2023;29/06/2023;65110;10.0.0.122;9198;10.0.0.121;L3;200;83;26;Active;2101;VPN0087;17;17
204;29/06/2023;29/06/2023;65110;10.1.2.82;9198;10.1.2.81;L3;50;83;29;Active;2109;VPN0089;17;17
205;29/06/2023;29/06/2023;65110;10.0.0.130;9198;10.0.0.129;L3;10584;83;7;Active;2105;VPN0086;17;17
206;29/06/2023;29/06/2023;65110;10.252.240.70;9198;10.252.240.69;L3;1;83;16;Active;2115;VPN1450;17;17
207;29/06/2023;29/06/2023;65110;10.1.36.146;9198;10.1.36.145;L3;10;83;27;Ordered;;;17;17
208;29/06/2023;29/06/2023;65110;10.1.36.114;9198;10.1.36.113;L3;1000;83;4;Active;2570;VPN1958;17;17
209;29/06/2023;29/06/2023;65110;10.1.59.166;9198;10.1.59.165;L3;5;83;1;Active;2185;VPN1238P;18;18
210;29/06/2023;29/06/2023;65110;10.1.59.170;9198;10.1.59.169;L3;30;83;3;Active;2103;VPN0085P;18;18
211;29/06/2023;29/06/2023;65110;10.1.59.174;9198;10.1.59.173;L3;810;83;11;Active;2108;VPN0088P;18;18
212;29/06/2023;29/06/2023;65110;10.1.59.178;9198;10.1.59.177;L3;5;83;17;Active;2110;VPN0084P;18;18
213;29/06/2023;29/06/2023;65110;10.0.211.114;9198;10.0.211.113;L3;110;83;19;Active;2106;VPN0344P;18;18
214;29/06/2023;29/06/2023;65110;10.1.59.182;9198;10.1.59.181;L3;200;83;26;Active;2101;VPN0087P;18;18
215;29/06/2023;29/06/2023;65110;10.1.59.186;9198;10.1.59.185;L3;50;83;29;Active;2109;VPN0089P;18;18
216;29/06/2023;29/06/2023;65110;10.1.59.190;9198;10.1.59.189;L3;10584;83;7;Active;2105;VPN0086P;18;18
217;29/06/2023;29/06/2023;65110;10.252.240.146;9198;10.252.240.145;L3;1;83;16;Active;2115;VPN1450P;18;18
218;29/06/2023;29/06/2023;65110;10.1.59.198;9198;10.1.59.197;L3;1000;83;4;Active;2570;VPN1958P;18;18
